Id;Num3DNeighbours;3DNeighbours
1523;2;165;223
1524;2;165;223
1525;2;215;223
1526;2;165;221
1527;2;269;291
1528;2;169;291
1529;2;165;247
1530;2;165;247
1531;2;215;221
1532;2;215;221
1533;2;166;167
1534;2;166;169
1535;2;167;268
1536;2;167;169
1537;2;167;169
1538;2;167;168
1539;2;167;169
1540;2;168;169
1541;2;168;169
1542;2;169;268
1543;2;169;268
1544;2;169;268
1545;2;170;224
1546;2;170;224
1547;2;170;260
1548;2;170;178
1549;2;173;205
1550;2;173;205
1551;2;173;183
1552;2;182;205
1553;2;171;178
1554;2;171;178
1555;2;171;224
1556;2;178;201
1557;2;175;209
1558;2;175;209
1559;2;176;209
1560;2;175;217
1561;2;171;201
1562;2;171;201
1563;2;171;193
1564;2;193;201
1565;2;172;201
1566;2;172;203
1567;2;172;203
1568;2;172;183
1569;2;173;182
1570;2;173;182
1571;2;173;181
1572;2;232;252
1573;2;232;252
1574;2;217;232
1575;2;174;176
1576;2;174;176
1577;2;174;182
1578;2;176;180
1579;2;174;175
1580;2;175;176
1581;2;175;176
1582;2;217;258
1583;2;217;252
1584;2;217;252
1585;2;177;224
1586;2;177;178
1587;2;178;224
1588;2;178;224
1589;2;178;224
1590;2;229;252
1591;1;182
1592;1;179
1593;2;179;180
1594;2;179;182
1595;2;179;182
1596;2;179;181
1597;2;179;182
1598;2;180;182
1599;2;180;182
1600;2;181;182
1601;2;181;182
1602;2;260;285
1603;2;260;285
1604;2;183;202
1605;2;183;203
1606;2;183;203
1607;2;203;205
1608;2;183;203
1609;2;183;205
1610;2;183;205
1611;2;184;263
1612;2;184;263
1613;2;263;289
1614;2;184;254
1615;2;261;263
1616;2;184;186
1617;2;185;263
1618;2;185;263
1619;2;185;187
1620;1;185
1621;2;289;294
1622;2;269;291
1623;2;269;294
1624;2;269;294
1625;2;269;294
1626;2;190;269
1627;2;289;291
1628;2;254;291
1629;2;254;289
1630;2;186;259
1631;2;186;259
1632;2;186;187
1633;1;261
1634;1;186
1635;2;186;261
1636;2;186;261
1637;2;186;261
1638;2;187;263
1639;2;187;263
1640;2;279;287
1641;2;279;287
1642;2;279;293
1643;1;287
1644;1;279
1645;2;293;307
1646;2;293;307
1647;2;188;307
1648;2;287;307
1649;2;287;293
1650;2;287;293
1651;2;188;294
1652;2;188;294
1653;2;188;190
1654;2;190;294
1655;2;189;294
1656;2;189;190
1657;2;190;294
1658;2;190;294
1659;2;191;199
1660;2;191;199
1661;2;191;205
1662;2;191;198
1663;2;199;216
1664;2;192;201
1665;2;192;201
1666;2;192;195
1667;2;192;203
1668;2;193;201
1669;2;193;203
1670;2;193;203
1671;2;193;204
1672;2;205;207
1673;2;205;207
1674;1;205
1675;2;194;202
1676;2;194;202
1677;1;194
1678;1;202
1679;2;194;204
1680;2;205;216
1681;2;205;216
1682;2;195;201
1683;2;195;201
1684;2;195;200
1685;2;196;199
1686;2;196;199
1687;2;196;198
1688;2;199;201
1689;2;196;201
1690;2;196;201
1691;2;196;200
1692;2;197;198
1693;2;197;199
1694;2;198;199
1695;2;198;199
1696;2;198;199
1697;1;200
1698;1;201
1699;2;200;201
1700;2;200;201
1701;2;200;201
1702;2;202;204
1703;2;202;204
1704;2;202;203
1705;2;203;204
1706;2;203;204
1707;2;205;206
1708;2;205;206
1709;2;206;230
1710;2;206;230
1711;2;206;207
1712;2;206;216
1713;2;207;230
1714;2;207;230
1715;1;230
1716;1;207
1717;2;208;252
1718;2;208;219
1719;2;208;252
1720;2;208;252
1721;2;208;209
1722;2;208;212
1723;2;209;252
